mengenai	kena
mengetahui	tahu
mengakui	laku
mengeluarkan	keluar
mengurangi	kurang
mengembangkan	kembang
mengalahkan	kalah
mengirimkan	kirim
mengunjungi	kunjung
mengumpulkan	kumpul
mengirim	kirim
mengembalikan	kembali
menguasai	kuasa
mengandung	kandung
mengemukakan	ke muka
mengelola	kelola
mengerahkan	serah
mengendarai	kendara
mengejutkan	kejut
mengantongi	kantong
mengeluhkan	keluh
mengendalikan	kendali
mengedepankan	kedepan
mengabulkan	kabul
mengerjakan	kerja
menguatkan	kuat
mengutuk	kutuk
mengomentari	komentar
mengonfirmasi	konfirmasi
mengontrol	kontrol
mengerikan	ngeri
mengulangi	pulang
mengemudi	kemudi
mengecewakan	kecewa
mengabarkan	kabar
mengenali	kenal
mengepung	kepung
mengelilingi	keliling 
mengemuka	kemuka
mengenalkan	kenal
menganggu	ganggu
mengemban	emban
mengorbankan	korban
mengemudikan	kemudi
mengaitkan	kait
menguras	kuras
mengesampingkan	ke samping
mengibarkan	kibar
mengoleksi	koleksi
mengunci	kunci
mengukuhkan	kukuh
mengisahkan	kisah
mengantuk	kantuk
mengesankan	kesan
mengucurkan	kucur
mengontrak	kontrak
mengontak	kontrol
mengelabui	kelabu
mengenyam	kenyam
mengosongkan	kosong
mengagetkan	kaget
mengunakan	guna
mengalah	kalah
mengerucut	kerucut
mengoreksi	koreksi
mengubur	kubur
mengering	kering
mengacaukan	kacau
mengobarkan	kobar
mengendus	endus
mengampanyekan	kampanye
mengagumi	kagum
mengendap	endap
mengekang	kekang
mengecilkan	kecil
mengejarnya	kejar
menganga	nganga
mengembang	kembang
mengembalikannya	kembali
menguatnya	kuat
mengorek	korek 
mengenalnya	kenal
mengaburkan	kabur
mengonfirmasikan	konfirmasi
mengupas	kupas
mengayuh	kayuh
mengakuinya	laku 
mengurung	kurung
mengotori	kotor
menguburkan	kubur 
mengoordinasikan	koordinasi
mengucur	kucur
mengirimkannya	kirim
mengumandangkan	kumandang
mengandaskan	kandas
mengalahkannya	kalah 
mengembangkannya	kembang
mengelupas	kelupas
mengerumuni	kerumun
mengatakannya	kata
mengomunikasikan	komunikasi
mengendurkan	kendur
mengarang	karang
mengebiri	kebiri
menganggap	anggap 
mengunjunginya	kunjung
mengantungi	kantung
mengganti	ganti
mengerucutkan	kerucut
mengunyah	kunyah
mengeringkan	kering
mengirimnya	kirim
mengemasi	kemas
mengerjakannya	kerja
mengokohkan	kokoh
mengonversi	konvensi
mengaitkannya	kait
mengonsolidasikan	konsolidasi
menguning	kuning
mengetatkan	ketat
mengeluarkannya	keluar
mengenalinya	kenal
mengepalkan	kepal
mengandangkan	kandang
menguncang	guncang
mengawinkan	kawin
mengendari	kendara
mengenyampingkan	ke samping
mengonsumsinya	konsumsi
mengombinasikan	kombinasi
mengeritik	kritik
mengoordinasi	koordinasi
mengerdilkan	kerdil
mengondisikan	kondisi
mengomentarinya	komentar
mengelabuhi	kelabu
mengalungkan	kalung
menguasainya	kuasa
mengatahui	kata 
mengawalinya	kawal
mengataka	kata 
mengencangkan	kencang
mengendalikannya	kendali
mengeklaim	klaim
mengelompokkan	kelompok
mengenakannya	kena 
menghawatirkan	khawatir
mengetengahkan	ke tengah
mengonsultasikan	konsultasi
mengepulkan	kepul
mengabulkannya	kabul
mengelilinginya	keliling 
mengira-ngira	kira 
mengeroyoknya	keroyok 
mengategorikan	kategori
mengemasnya	kemas 
mengontrolnya	kontrol 
mengembangan	kembang  
mengejar-ngejar	kejar 
mengembangbiakkan	kembangbiak
mengecamnya	kecam 
mengetukkan	ketuk
mengernyitkan	kernyit
mengerumuninya	kerumun 
mengesahkannya	sah
mengepungnya	kepung 
mengendarainya	kendara
menggangap	anggap 
mengemukan	temu
mengumpulkannya	kumpul
menguburkannya	kubur
mengigit	gigit 
mengerubunginya	kerubung 
mengataan	kata 
menggaris-bawahi	garis bawah 
mengais-ngais	kais 
mengenangnya	kenang 
mengonfrontasi	konfrontasi 
mengenalkannya	kenal
mengapalkan	kapal
mengeksplor	eksplor 
menguping	kuping
mengontaknya	kontak
mengibar-ngibarkan	kibar
mengedapankan	ke depan
mengental	kental
mengatakn	kata
masing-masing	masing-masing
diperiksa	periksa
teroris	teroris
terorisme	terorisme
diperlukan	perlu
terbang	terbang
diskusi	diskusi
terangnya	terang
dialog	dialog
terminal	terminal
ditandatangani	tanda tangan
mendirikan	diri
disepakati	pakat
dingin	dingin
terendam	rendam
ditindaklanjuti	tindak lanjut
dipercaya	percaya
dinding	dinding
ternate	ternate
Diponegoro	Diponegoro
dishub	hub
terobosan	terobos
diskriminasi	diskriminasi
terowongan	terowong
se-Indonesia	indonesia
mengatasnamakan	atas nama
terendah	rendah
Bandarlampung	bandar lampung
dikemukakan	ke muka
dikonsumsi	konsumsi
terealisasi	real
terus-menerus	terus
terkemuka	ke muka
dinkes	dinkes
diperintahkan	perintah
distributor	distribusi
terekam	rekam
diberitahu	beri tahu
disana	di sana
dipertanggungjawabkan	tanggung jawab
dinamis	dinamik
dinasnya	dinas
dipelajari	ajar
berserakan	serak
diverifikasi	verifikasi
berkepentingan	penting
mendistribusikan	distribusi
mendiskusikan	diskusi
direkrut	direkrut
terumbu	terumbu
berantakan	berantak
terlantar	telantar
disalahgunakan	salah guna
diapresiasi	apresiasi
diabetes	diabetes
mendung	mendung
dimensi	dimensi
mengetahuinya	tahu
diotopsi	otopsi
dimutasi	mutasi
diseleksi	seleksi
dioperasi	operasi
diklarifikasi	klasifikasi
bersebelahan	belah
menggarisbawahi	garis bawah
terbitnya	terbit
dilatarbelakangi	latar belakang
terusan	terus
menghalang-halangi	halangi
diktator	diktator
dikebumikan	ke bumi
terawat	rawat
disitu	di situ
teman-temannya	teman
